House,Precinct,,,,,Senate,,,,,County
37,2,Mililani High Sch,95-1200 Meheula Pkwy,Gym,I,18,IX,DOE,21.452535,-158.013614,City and County of Honolulu
36,3,Mililani High Sch,95-1200 Meheula Pkwy,Caf,I,18,IX,DOE,21.452535,-158.012614,City and County of Honolulu
35,3,,,,I,18,VIII,,,,City and County of Honolulu
40,2,Holomua Elem Sch,91-1561 Keaunui Dr,Caf,I,19,IX,DOE,21.339088,-158.020042,City and County of Honolulu
41,3,Ewa Beach Elem Sch,91-740 Papipi Rd,Caf,I,19,IX,DOE,21.314888,-158.01514,City and County of Honolulu
41,2,Ilima Inter Sch,91-884 Ft Weaver Rd,Caf,I,19,I,DOE,21.316054,-158.011771,City and County of Honolulu
41,1,Campbell High Sch,91-980 North Rd,Caf,I,19,IX,DOE,21.316933,-158.010148,City and County of Honolulu
40,3,Campbell High Sch,91-980 North Rd,Caf,I,19,IX,DOE,21.316933,-158.009148,City and County of Honolulu
40,4,,,,I,19,I,,,,City and County of Honolulu
43,2,Kapolei Elem Sch,91-1119 Kamaaha Lp,Caf,I,20,I,C,21.333941,-158.065492,City and County of Honolulu
41,4,Kapolei Elem Sch,91-1119 Kamaaha Lp,Caf,I,20,IX,DOE,21.333941,-158.064492,City and County of Honolulu
40,1,Ewa Elem Sch,91-1280 Renton Rd,Caf,I,20,IX,DOE,21.344125,-158.034794,City and County of Honolulu
39,5,Ewa Elem Sch,91-1280 Renton Rd,Caf,I,20,IX,DOE,21.344125,-158.033794,City and County of Honolulu
42,1,Kapolei High Sch,91-5007 Kapolei Parkway,Caf,I,20,I,DOE,21.329748,-158.069338,City and County of Honolulu
42,3,Mauka Lani Elem Sch,92-1300 Panana St,Caf,II ,20,I,DOE,21.358445,-158.084688,City and County of Honolulu
39,4,Mauka Lani Elem Sch,92-1300 Panana St,Caf,II,20,I,DOE,21.358445,-158.083688,City and County of Honolulu
42,2,Makakilo Elem Sch,92-675 Anipeahi St,Caf,II ,20,I,DOE,21.344373,-158.084799,City and County of Honolulu
38,4,Waipahu Inter Sch,94-455 Farrington Hwy,Caf,I,20,IX,DOE,21.381852,-158.015376,City and County of Honolulu
35,7,Waipahu Inter Sch ,94-455 Farrington Hwy ,Caf,I,20,VIII,DOE,21.381852,-158.014376,City and County of Honolulu
43,1,,,,I,20,IX,,,,City and County of Honolulu
39,3,,,,II,20,IX,,,,City and County of Honolulu
44,2,Makaha Elem Sch,84-760 Lahaina St,Caf,II,21,I,DOE,21.462006,-158.206459,City and County of Honolulu
44,1,Waianae Inter Sch,85-626 Farrington Hwy,Caf,II,21,I,DOE,21.452744,-158.192371,City and County of Honolulu
43,5,Maili Elem Sch,87-360 Kulaaupuni St,Caf,II,21,I,DOE,21.42007,-158.172698,City and County of Honolulu
43,4,Nanaikapono Elem Sch,89-153 Mano Ave,Caf,II,21,I,DOE,21.384272,-158.142511,City and County of Honolulu
43,3,Kamokila Park,91-015 Farrington Hwy,Rec Ctr,I,21,I,C,21.341652,-158.1069,City and County of Honolulu
46,4,Helemano Elem Sch,1001 Ihi Ihi Ave,Caf,II,22,II,DOE,21.502777,-158.023611,City and County of Honolulu
46,3,Leilehua High Sch,1515 California Ave,Caf,II,22,II,DOE,21.500464,-158.012126,City and County of Honolulu
46,2,Wahiawa Middle Sch,275 Rose St,Caf,II,22,II,DOE,21.494055,-158.01861,City and County of Honolulu
46,1,National Guard Armory,77-230 Kamehameha Hwy,Gym,I,22,II,S,21.47946,-158.026188,City and County of Honolulu
45,2,Kipapa Elem Sch,95-075 Kipapa Dr ,Caf,I,22,II,DOE,21.457948,-158.009669,City and County of Honolulu
36,2,Mililani Mauka Elem Sch,95-1111 Makaikai St,Caf,I,22,II,DOE,21.470834,-158.000736,City and County of Honolulu
36,1,Mililani Middle Sch,95-1140 Lehiwa Dr,Caf,I,22,II,DOE,21.476233,-157.990479,City and County of Honolulu
45,3,,,,II,22,II,,,,City and County of Honolulu
48,4,King Inter Sch,46-155 Kamehameha Hwy,Caf,II,23,III,DOE,21.443839,-157.810143,City and County of Honolulu
48,1,Kahaluu Elem Sch,47-280 Waihee Rd,Caf,II,23,II,DOE,21.452943,-157.852784,City and County of Honolulu
48,2,Kahaluu Elem Sch,47-280 Waihee Rd,Caf,II,23,III,DOE,21.452943,-157.853784,City and County of Honolulu
47,4,Hauula Elem Sch,54-046 Kamehameha Hwy,Caf,II,23,II,DOE,21.607485,-157.908066,City and County of Honolulu
